
========================================
Start Time             : 2026-07-21T01:19:47.853167
========================================
49 | findNthCatalan | statement | 100.00% | 8.52ms | 117.08MB | 1 cases
49 | findNthCatalan | branch | 100.00% | 8.74ms | 119.68MB | 1 cases
49 | findNthCatalan | mcdc | 100.00% | 7.74ms | 227.18MB | 1 cases
3 | change | statement | 100.00% | 4.53ms | 160.00MB | 2 cases
3 | change | branch | 75.00% | 3.75ms | 122.32MB | 1 cases
3 | change | mcdc | 75.00% | 3.75ms | 225.23MB | 1 cases
4 | minimumCoins | statement | 100.00% | 13.74ms | 154.57MB | 1 cases
4 | minimumCoins | branch | 90.00% | 11.97ms | 139.75MB | 1 cases
4 | minimumCoins | mcdc | 83.33% | 11.35ms | 242.09MB | 1 cases
27 | convolution | statement | 100.00% | 22.28ms | 180.33MB | 1 cases
27 | convolution | branch | 100.00% | 57.35ms | 116.83MB | 1 cases
27 | convolution | mcdc | 100.00% | 21.12ms | 217.32MB | 1 cases
19 | correlation | statement | 95.83% | 4.68ms | 158.11MB | 1 cases
19 | correlation | branch | 75.00% | 4.15ms | 259.05MB | 1 cases
19 | correlation | mcdc | 75.00% | 4.28ms | 199.30MB | 1 cases
21 | countFriendsPairing | statement | 91.67% | 2.79ms | 150.50MB | 2 cases
21 | countFriendsPairing | branch | 83.33% | 2.88ms | 250.50MB | 2 cases
21 | countFriendsPairing | mcdc | 83.33% | 2.92ms | 200.29MB | 2 cases
--- ERROR ---15 | countNiceSubarrays | branch | 91.67% | 374.37ms | 226.19MB | 3 cases
15 | countNiceSubarrays | mcdc | 91.67% | 180.27ms | 186.61MB | 3 cases
9 | crossCorrelation | statement | 100.00% | 26.35ms | 174.74MB | 1 cases
9 | crossCorrelation | branch | 100.00% | 26.42ms | 155.63MB | 1 cases
9 | crossCorrelation | mcdc | 100.00% | 48.51ms | 256.62MB | 1 cases
78 | findMax | statement | 100.00% | 3.84ms | 198.33MB | 3 cases
78 | findMax | branch | 100.00% | 4.89ms | 219.74MB | 3 cases
78 | findMax | mcdc | 100.00% | 4.07ms | 209.11MB | 3 cases
91 | max | statement | 100.00% | 2.18ms | 204.21MB | 3 cases
91 | max | branch | 100.00% | 2.51ms | 189.29MB | 3 cases
91 | max | mcdc | 100.00% | 3.54ms | 146.05MB | 3 cases
87 | findMin | statement | 100.00% | 3.76ms | 140.57MB | 3 cases
87 | findMin | branch | 100.00% | 3.67ms | 122.57MB | 3 cases
87 | findMin | mcdc | 100.00% | 3.61ms | 197.68MB | 3 cases
67 | min | statement | 100.00% | 2.52ms | 216.28MB | 3 cases
67 | min | branch | 100.00% | 2.47ms | 173.29MB | 3 cases
67 | min | mcdc | 100.00% | 2.39ms | 152.25MB | 3 cases
93 | maxSum | statement | 100.00% | 4.82ms | 131.22MB | 2 cases
93 | maxSum | branch | 100.00% | 4.91ms | 231.22MB | 2 cases
93 | maxSum | mcdc | 100.00% | 4.98ms | 208.84MB | 2 cases
56 | find | statement | 90.00% | 3.27ms | 193.84MB | 4 cases
56 | find | branch | 83.33% | 4.34ms | 186.42MB | 5 cases

========================================
Start Time             : 2026-07-21T02:04:38.786286
========================================
49 | findNthCatalan | branch | 100.00% | 7.43ms | 118.06MB | 1 cases
49 | findNthCatalan | mcdc | 100.00% | 7.95ms | 131.79MB | 1 cases
3 | change | branch | 75.00% | 3.96ms | 85.60MB | 1 cases
3 | change | mcdc | 75.00% | 14.83ms | 194.77MB | 1 cases
4 | minimumCoins | branch | 90.00% | 10.85ms | 143.50MB | 1 cases
4 | minimumCoins | mcdc | 83.33% | 11.92ms | 92.00MB | 1 cases
27 | convolution | branch | 100.00% | 20.43ms | 201.44MB | 1 cases
27 | convolution | mcdc | 100.00% | 21.46ms | 153.08MB | 1 cases
19 | correlation | branch | 75.00% | 4.12ms | 119.86MB | 1 cases
19 | correlation | mcdc | 75.00% | 4.39ms | 222.38MB | 1 cases
21 | countFriendsPairing | branch | 83.33% | 2.88ms | 188.31MB | 2 cases
21 | countFriendsPairing | mcdc | 83.33% | 2.72ms | 161.61MB | 2 cases
15 | countNiceSubarrays | branch | 91.67% | 283.70ms | 151.68MB | 4 cases
15 | countNiceSubarrays | mcdc | 91.67% | 268.95ms | 157.81MB | 4 cases
9 | crossCorrelation | branch | 100.00% | 26.92ms | 174.47MB | 1 cases
9 | crossCorrelation | mcdc | 100.00% | 78.79ms | 174.97MB | 1 cases
